,predicted_label,explanation_label,proximity score
0,Introduction,Grey Area,0.71133214
1,Depression,Grey Area,0.7763767
2,Introduction,Grey Area,0.7979724
3,Depression,Grey Area,0.64800024
4,Grey Area,Grey Area,0.794668
5,Depression,Grey Area,0.8083081
6,Depression,Depression,0.78028166
7,Depression,Grey Area,0.8620087
8,Introduction,Grey Area,0.80576223
9,Introduction,Grey Area,0.799408
10,Depression,Depression,0.6354018
11,Depression,Grey Area,0.71235657
12,Grey Area,Grey Area,0.73750734
13,Introduction,Grey Area,0.7497606
14,Introduction,Grey Area,0.7294251
15,Grey Area,Grey Area,0.7920892
16,Grey Area,Grey Area,0.75735664
17,Grey Area,Grey Area,0.7906414
18,Depression,Grey Area,0.7837382
19,Grey Area,Grey Area,0.73432577
20,Introduction,Grey Area,0.740126
21,Depression,Grey Area,0.79709864
22,Grey Area,Grey Area,0.8897254
23,Depression,Grey Area,0.7825606
24,Depression,Grey Area,0.67438436
25,Depression,Grey Area,0.64998555
26,Depression,Grey Area,0.7408282
27,Grey Area,Grey Area,0.74220747
28,Depression,Grey Area,0.7512882
29,Grey Area,Grey Area,0.7534966
30,Depression,Grey Area,0.8580068
31,Depression,Grey Area,0.8103878
32,Depression,Grey Area,0.7789236
33,Depression,Grey Area,0.7939044
34,Depression,Grey Area,0.7387926
35,Depression,Grey Area,0.75591236
36,Introduction,Grey Area,0.7387568
37,Depression,Depression,0.61941314
38,Introduction,Grey Area,0.76040375
39,Depression,Grey Area,0.7548146
40,Depression,Grey Area,0.79280585
41,Grey Area,Grey Area,0.74698937
42,Depression,Grey Area,0.65992177
43,Introduction,Grey Area,0.7374251
44,Depression,Grey Area,0.6678992
45,Introduction,Grey Area,0.71170884
46,Depression,Grey Area,0.78070444
47,Depression,Grey Area,0.7350388
48,Grey Area,Grey Area,0.76359785
49,Introduction,Grey Area,0.8902167
50,Introduction,Grey Area,0.732825
51,Depression,Grey Area,0.63625884
52,Introduction,Grey Area,0.7552557
53,Depression,Grey Area,0.7961714
54,Depression,Grey Area,0.76144904
55,Depression,Grey Area,0.70645106
56,Depression,Grey Area,0.6670836
57,Grey Area,Grey Area,0.75647146
58,Depression,Grey Area,0.6903265
59,Introduction,Grey Area,0.76270986
60,Depression,Grey Area,0.6905519
61,Depression,Grey Area,0.75569355
62,Depression,Grey Area,0.78699505
63,Depression,Grey Area,0.6123061
64,Introduction,Grey Area,0.8143525
65,Introduction,Grey Area,0.79071826
66,Introduction,Grey Area,0.81285346
